,_1
0,"['millions', 'dollars', 'could', 'saved', 'less', 'invasive', 'surge']"
1,"['burrow', 'fanning', 'survive', 'elimination', 'heats', 'fiji', 'pro']"
2,"['teens', 'rampage', 'vacant', 'house']"
3,"['owners', 'urged', 'put', 'pets', 'inside', 'fireworks']"
4,"['australians', 'urged', 'deep', 'haiti']"
5,"['us', 'markets', 'fail', 'follow', 'asian', 'share', 'slide']"
6,"['industrial', 'relations', 'minister', 'michael', 'wright', 'says']"
7,"['indigenous', 'missing', 'bush', 'food', 'boom']"
8,"['police', 'falling', 'victim', 'reported', 'crime']"
9,"['long', 'jail', 'term', 'sought', 'paedophile']"
10,"['three', 'trapped', 'tas', 'fire']"
11,"['racq', 'calls', 'road', 'toll', 'major', 'public', 'health', 'problem']"
12,"['woman', 'doused', 'petrol', 'house', 'set', 'alight']"
13,"['dish', 'celebrates', '50th', 'birthday']"
14,"['philippines', 'flood', 'update', 'thurs', 'pm']"
15,"['flying', 'clydesdale']"
16,"['scientist', 'surprised', 'councils', 'lack', 'vision']"
17,"['taxi', 'driver', 'greg', 'collins', 'backs', 'away', 'assault', 'claim']"
18,"['water', 'ski', 'proposal', 'lake', 'ginninderra']"
19,"['wikimedia', 'boss', 'rise', 'trouble', 'fake']"
20,"['blues', 'coach', 'gould', 'pays', 'parting', 'shot']"
21,"['customers', 'may', 'getting', 'raw', 'deal', 'says']"
22,"['woman', 'faces', 'cairns', 'court', 'mans', 'death']"
23,"['dry', 'conditions', 'keep', 'firefighters', 'busy']"
24,"['mailman', 'wins', 'top', 'naidoc', 'honour']"
25,"['wwii', 'veteran', 'rob', 'rae', 'talks', 'abc', 'hobart', 'news']"
26,"['syfy', 'ghost', 'buster', 'hansen', 'investigates', 'adelaides', 'haunts']"
27,"['shark', 'attack', 'victim', 'remembered']"
28,"['feed', 'baby;', 'things', 'didnt', 'tel']"
29,"['bhp', 'launches', 'legal', 'action', 'harbour', 'heritage']"
30,"['sydney', 'fc', 'lose', 'terry', 'antonis', 'greek', 'club', 'paok', 'fc']"
31,"['fed', 'introduce', 'national', 'insurance']"
32,"['five', 'years', 'beslan', 'marks', 'massacre']"
33,"['new', 'support', 'dementia', 'carers']"
34,"['abbott', 'targets', ""'big"", 'labor', ""waste'"", 'updated', 'booklet']"
35,"['nrn', 'ag', 'students']"
36,"['hunt', 'violent', 'prison', 'escapees', 'intensifies']"
37,"['ross', 'rodeo']"
38,"['toodyay', 'bushfire', 'report', 'controversy']"
39,"['burke', 'grill', 'stand', 'trial']"
